INCIDENT_ID,INDIVIDUAL_RACE,INDIVIDUAL_GENDER,INDIVIDUAL_AGE,INDIVIDUAL_INJURY_TYPE,ObjectID,YR,Latitude,Longitude,CreationDate,Creator,EditDate,Editor
1649,Black,Male,33,Miss,1,2005,35.2244962607,-80.8965036803,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
1739,White,Male,25,Non-Fatal Injury,2,2005,35.2269911614,-80.7292989433,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
1953,White,Male,67,Fatal Injury,3,2005,35.1990251245,-80.7562857781,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
2421,Black,Male,25,Miss,4,2005,35.2193387,-80.8763673828,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
1875,Black,Male,19,Miss,5,2005,35.1443632594,-80.8617739727,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
2596,Black,Male,25,Miss,6,2005,35.2054231072,-80.7590955842,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
21268,Hispanic,Male,,Fatal Injury,7,2017,35.2030182355,-80.7405017839,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
20897,Hispanic,Male,31,Non-Fatal Injury,8,2016,35.1789781446,-80.8834948368,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
3095,Black,Male,27,Miss,9,2006,35.1967587252,-80.7264610986,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
3750,Black,Male,36,Fatal Injury,10,2006,35.3076356115,-80.8456732385,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
3490,Black,Male,33,Non-Fatal Injury,11,2006,35.3284931864,-80.7833387904,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
3932,Black,Male,26,Non-Fatal Injury,12,2006,35.2668892681,-80.9216006271,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
3908,White,Male,41,Fatal Injury,13,2006,35.2031537408,-80.7440670771,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
4392,Black,Male,42,Fatal Injury,14,2006,35.2801836787,-80.8163096331,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
4925,Black,Male,17,Non-Fatal Injury,15,2007,35.1965504219,-80.7680738134,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
5822,Black,Male,33,Non-Fatal Injury,16,2007,35.1831188704,-80.7647899018,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
5954,Black,Male,16,Fatal Injury,17,2007,35.2033806767,-80.7555426372,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
6740,White,Male,29,Non-Fatal Injury,18,2008,35.2888832311,-80.836590504,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
6788,Black,Male,29,Non-Fatal Injury,19,2008,35.2200525751,-80.8080232581,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
6530,Black,Male,52,Non-Fatal Injury,20,2008,35.1629054112,-80.8761592683,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
6508,Hispanic,Male,37,Non-Fatal Injury,21,2008,35.325941465,-80.8614263024,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
7699,Black,Male,35,Non-Fatal Injury,22,2008,35.2580411017,-80.7842380302,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
7307,Black,Male,36,Non-Fatal Injury,23,2008,35.2526941601,-80.8497010414,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
7218,Hispanic,Male,27,Non-Fatal Injury,24,2008,35.1403037207,-80.8941639154,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
6867,Black,Male,21,Fatal Injury,25,2008,35.24248825,-80.8295948795,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
9687,Hispanic,Male,17,Miss,26,2010,35.1982854647,-80.7263528374,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
10386,Black,Male,21,Non-Fatal Injury,27,2010,35.2364618415,-80.7432228868,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
10392,Black,Male,25,Non-Fatal Injury,28,2010,35.1733500207,-80.8512840502,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
10973,White,Male,48,Fatal Injury,29,2010,35.1686449363,-80.8627469696,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
11088,Hispanic,Male,57,Miss,30,2010,35.2265812227,-80.7473082865,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
10484,White,Male,24,Miss,31,2010,35.2274098004,-80.7576447066,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
11493,Black,Male,21,Non-Fatal Injury,32,2011,35.233936993,-80.8809642526,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
10789,Black,Male,15,Non-Fatal Injury,33,2010,35.3141508718,-80.8219327572,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
10974,Black,Male,69,Non-Fatal Injury,34,2010,35.2698476708,-80.7795207465,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
12277,Hispanic,Male,22,Non-Fatal Injury,35,2011,35.2117777605,-80.7614796385,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
12646,Black,Male,28,Miss,36,2011,35.166106593,-80.8936357157,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
13575,White,Male,21,Non-Fatal Injury,37,2012,35.279278875,-80.9118256526,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
13080,White,Male,48,Non-Fatal Injury,38,2012,35.2183375193,-80.8539675172,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
14477,White,Male,55,Fatal Injury,39,2013,35.1657755096,-80.8723733214,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
13634,Black,Male,28,Fatal Injury,40,2012,35.2502543967,-80.8616692141,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
13894,White,Male,26,Fatal Injury,41,2012,35.0681237822,-80.7862160365,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
15255,Black,Male,17,Fatal Injury,42,2013,35.2689129751,-80.7855150846,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
15255,Black,Male,17,Miss,43,2013,35.2689129751,-80.7855150846,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
16193,Black,Male,31,Non-Fatal Injury,44,2014,35.2932820009,-80.7576026519,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
15735,Black,Male,25,Miss,45,2013,35.2409276709,-80.824840057,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
15332,White,Male,59,Fatal Injury,46,2013,35.3114086314,-80.7857503275,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
15735,Black,Male,24,Miss,47,2013,35.2409276709,-80.824840057,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
15735,Black,Male,27,Miss,48,2013,35.2409276709,-80.824840057,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
17466,Black,Male,31,Non-Fatal Injury,49,2014,35.204821177,-80.7385782646,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
17590,Black,Male,,Miss,50,2014,35.2682802845,-80.8539153895,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
17817,Black,Male,,Non-Fatal Injury,51,2014,35.2358007904,-80.7347245575,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
16556,Black,Male,26,Miss,52,2014,35.2941916171,-80.9290699548,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
17939,Black,Male,27,Non-Fatal Injury,53,2015,35.2222115874,-80.8434126804,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
18163,Black,Female,20,Fatal Injury,54,2015,35.2508041716,-80.8184683606,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
18223,Black,Male,14,Non-Fatal Injury,55,2015,35.238000275,-80.8285226638,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
17016,Black,Male,21,Miss,56,2014,35.2422104547,-80.8589964148,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
17018,Black,Male,21,Fatal Injury,57,2014,35.2926361388,-80.7559027434,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
19333,Black,Male,32,Miss,58,2015,35.2231181886,-80.8709955482,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
15821,Black,Male,24,Fatal Injury,59,2013,35.2535717534,-80.6476806977,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
19722,Black,Male,33,Fatal Injury,60,2016,35.2419303169,-80.9134544457,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
19720,Black,Male,30,Fatal Injury,61,2016,35.2188104799,-80.8854171964,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
19693,Black,Male,18,Fatal Injury,62,2015,35.3499809047,-80.8527021013,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
20336,Black,Male,25,Non-Fatal Injury,63,2016,35.1085836329,-80.9795311493,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
19808,Unknown,Male,,Miss,64,2016,35.160943569,-80.896387052,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
20421,Black,Male,18,Fatal Injury,65,2016,35.2894174234,-80.7584140885,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
20675,Hispanic,Male,,Non-Fatal Injury,66,2016,,,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
20244,Asian or Pacific islander,Male,,Miss,67,2016,35.2451980638,-80.9352155306,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
20497,Black,Male,40,Non-Fatal Injury,68,2016,35.1563755786,-80.7560093813,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
20736,White,Male,30,Non-Fatal Injury,69,2016,35.203083254,-80.7422843702,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
20904,Black,Male,,Non-Fatal Injury,70,2016,35.2244068763,-80.8929113782,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
21414,White,Male,25,Fatal Injury,71,2017,35.2604238,-80.8327788842,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
20825,Black,Male,43,Fatal Injury,72,2016,35.2928903065,-80.7275385082,2017-08-07T03:04:27.744Z,charlottedata,2017-08-07T03:04:27.744Z,charlottedata
