OBJECTID,DIVISION,DNAME,WNAME,CreationDate,Creator,EditDate,Editor,Shape__Area,Shape__Length
472,01,Central Division,Eastway Wrecker Service,2017-09-03T03:33:42.459Z,CharlotteNC,2017-09-03T03:33:42.459Z,CharlotteNC,0.001059931040819,0.196156672031659
473,02,Metro Division,Hunter Auto and Wrecker Service,2017-09-03T03:33:42.459Z,CharlotteNC,2017-09-03T03:33:42.459Z,CharlotteNC,0.003351283426548,0.305683542050167
474,06,Eastway Division,Hunter Auto and Wrecker Service,2017-09-03T03:33:42.459Z,CharlotteNC,2017-09-03T03:33:42.459Z,CharlotteNC,0.002629066015166,0.240166260814371
475,07,North Tryon Division,Hunter Auto and Wrecker Service,2017-09-03T03:33:42.459Z,CharlotteNC,2017-09-03T03:33:42.459Z,CharlotteNC,0.00330235422136,0.250835341423102
476,11,North Division,Hunter Auto and Wrecker Service,2017-09-03T03:33:42.459Z,CharlotteNC,2017-09-03T03:33:42.459Z,CharlotteNC,0.022683853331113,3.45354414739626
477,12,Hickory Grove Division,"Southern Star of Charlotte, Inc",2017-09-03T03:33:42.459Z,CharlotteNC,2017-09-03T03:33:42.459Z,CharlotteNC,0.009311317040036,1.00866970498915
478,14,University City Division,Larry Campbell's Towing & Recovery,2017-09-03T03:33:42.459Z,CharlotteNC,2017-09-03T03:33:42.459Z,CharlotteNC,0.012031671994296,0.492374445217053
479,16,Providence Division,Williams Wrecker,2017-09-03T03:33:42.459Z,CharlotteNC,2017-09-03T03:33:42.459Z,CharlotteNC,0.004861582112927,0.368036653686683
480,17,Independence Division,Williams Wrecker,2017-09-03T03:33:42.459Z,CharlotteNC,2017-09-03T03:33:42.459Z,CharlotteNC,0.004867961519295,0.412355430028498
481,21,Steele Creek Division,Dellinger Wrecker Service,2017-09-03T03:33:42.459Z,CharlotteNC,2017-09-03T03:33:42.459Z,CharlotteNC,0.015284488139669,1.43259391684442
482,22,South Division,Dellinger Wrecker Service,2017-09-03T03:33:42.459Z,CharlotteNC,2017-09-03T03:33:42.459Z,CharlotteNC,0.014660783912575,0.6848291786545
483,26,Westover Division,Eastway Wrecker Service,2017-09-03T03:33:42.459Z,CharlotteNC,2017-09-03T03:33:42.459Z,CharlotteNC,0.004284695062512,0.373933122278448
484,27,Freedom Division,Bradley's Wrecker Service,2017-09-03T03:33:42.459Z,CharlotteNC,2017-09-03T03:33:42.459Z,CharlotteNC,0.010409189022699,1.06558551757178
485,28,Airport Division,Bradley's Wrecker Service,2017-09-03T03:33:42.459Z,CharlotteNC,2017-09-03T03:33:42.459Z,CharlotteNC,0.002004343177522,0.619861023619245
486,28,Airport Division,Dellinger Wrecker Service,2017-09-03T03:33:42.459Z,CharlotteNC,2017-09-03T03:33:42.459Z,CharlotteNC,0.000281102354954,0.262319416598692
