OBJECTID,DIVISION,DNAME,SHAPE_Leng,WNAME,CreationDate,Creator,EditDate,Editor,Shape__Area,Shape__Length
264,01,Central Division,0,Eastway Wrecker Service,2017-08-31T03:33:55.263Z,CharlotteNC,2017-08-31T03:33:55.263Z,CharlotteNC,0.001059931040819,0.196156672031659
265,02,Metro Division,0,Hunter Auto and Wrecker Service,2017-08-31T03:33:55.263Z,CharlotteNC,2017-08-31T03:33:55.263Z,CharlotteNC,0.003351283426548,0.305683542050167
266,06,Eastway Division,0,Hunter Auto and Wrecker Service,2017-08-31T03:33:55.263Z,CharlotteNC,2017-08-31T03:33:55.263Z,CharlotteNC,0.002629066015166,0.240166260814371
267,07,North Tryon Division,0,Hunter Auto and Wrecker Service,2017-08-31T03:33:55.263Z,CharlotteNC,2017-08-31T03:33:55.263Z,CharlotteNC,0.00330235422136,0.250835341423102
268,11,North Division,0,Hunter Auto and Wrecker Service,2017-08-31T03:33:55.263Z,CharlotteNC,2017-08-31T03:33:55.263Z,CharlotteNC,0.022683853331113,3.45354414739626
269,12,Hickory Grove Division,0,"Southern Star of Charlotte, Inc",2017-08-31T03:33:55.263Z,CharlotteNC,2017-08-31T03:33:55.263Z,CharlotteNC,0.009311317040036,1.00866970498915
270,14,University City Division,0,Larry Campbell's Towing & Recovery,2017-08-31T03:33:55.263Z,CharlotteNC,2017-08-31T03:33:55.263Z,CharlotteNC,0.012031671994296,0.492374445217053
271,16,Providence Division,0,Williams Wrecker,2017-08-31T03:33:55.263Z,CharlotteNC,2017-08-31T03:33:55.263Z,CharlotteNC,0.004861582112927,0.368036653686683
272,17,Independence Division,0,Williams Wrecker,2017-08-31T03:33:55.263Z,CharlotteNC,2017-08-31T03:33:55.263Z,CharlotteNC,0.004867961519295,0.412355430028498
273,21,Steele Creek Division,0,Dellinger Wrecker Service,2017-08-31T03:33:55.263Z,CharlotteNC,2017-08-31T03:33:55.263Z,CharlotteNC,0.015284488139669,1.43259391684442
274,22,South Division,0,Dellinger Wrecker Service,2017-08-31T03:33:55.263Z,CharlotteNC,2017-08-31T03:33:55.263Z,CharlotteNC,0.014660783912575,0.6848291786545
275,26,Westover Division,0,Eastway Wrecker Service,2017-08-31T03:33:55.263Z,CharlotteNC,2017-08-31T03:33:55.263Z,CharlotteNC,0.004284695062512,0.373933122278448
276,27,Freedom Division,0,Bradley's Wrecker Service,2017-08-31T03:33:55.263Z,CharlotteNC,2017-08-31T03:33:55.263Z,CharlotteNC,0.010409189022699,1.06558551757178
277,28,Airport Division,0,Bradley's Wrecker Service,2017-08-31T03:33:55.263Z,CharlotteNC,2017-08-31T03:33:55.263Z,CharlotteNC,0.001723240822568,0.389263474923239
278,28,Airport Division,0,Dellinger Wrecker Service,2017-08-31T03:33:55.263Z,CharlotteNC,2017-08-31T03:33:55.263Z,CharlotteNC,0.000281102354954,0.262319416598692
